delivery_date,market_area,hours,Low (€/MWh),High (€/MWh),Last (€/MWh),Weight Avg (€/MWh),Buy Volume (MWh),Sell Volume (MWh),Volume (MWh),period_start
2026-07-08,NO1,00 - 01,130.0,329.0,130.0,149.75,3069.2,2930.4,2999.8,2026-07-08T00:00:00
2026-07-08,NO1,01 - 02,139.25,188.6,165.1,144.72,3399.9,2856.1,3128.0,2026-07-08T01:00:00
2026-07-08,NO1,02 - 03,52.1,150.03,125.5,141.75,3501.8,3194.3,3348.1,2026-07-08T02:00:00
2026-07-08,NO1,03 - 04,111.93,182.27,129.94,139.02,3712.0,3824.8,3768.4,2026-07-08T03:00:00
2026-07-08,NO1,04 - 05,110.76,210.59,140.02,140.58,4035.1,3433.3,3734.2,2026-07-08T04:00:00
2026-07-08,NO1,05 - 06,140.12,166.87,163.3,148.26,4235.2,3343.2,3789.2,2026-07-08T05:00:00
2026-07-08,NO1,06 - 07,77.21,173.26,137.9,158.7,4574.7,3304.2,3939.5,2026-07-08T06:00:00
2026-07-08,NO1,07 - 08,144.0,170.95,170.69,155.19,5047.3,3846.3,4446.8,2026-07-08T07:00:00
2026-07-08,NO1,08 - 09,88.81,160.8,126.98,139.98,4974.2,4086.3,4530.3,2026-07-08T08:00:00
2026-07-08,NO1,09 - 10,117.07,197.7,147.06,124.77,4526.3,3835.8,4181.1,2026-07-08T09:00:00
2026-07-08,NO1,10 - 11,97.6,142.09,123.61,108.01,6841.2,6425.0,6633.1,2026-07-08T10:00:00
2026-07-08,NO1,11 - 12,-6.0,91.74,32.0,76.28,9016.5,8575.6,8796.1,2026-07-08T11:00:00
2026-07-08,NO1,12 - 13,5.01,70.14,29.98,42.76,11402.6,11053.9,11228.3,2026-07-08T12:00:00
2026-07-08,NO1,13 - 14,-2.87,63.4,25.0,26.44,10767.9,10389.5,10578.7,2026-07-08T13:00:00
2026-07-08,NO1,14 - 15,2.8,51.9,22.01,24.87,10483.1,10080.3,10281.7,2026-07-08T14:00:00
2026-07-08,NO1,15 - 16,4.2,80.35,65.0,44.46,10270.3,9640.2,9955.3,2026-07-08T15:00:00
2026-07-08,NO1,16 - 17,60.45,148.3,80.4,76.94,7291.4,6914.2,7102.8,2026-07-08T16:00:00
2026-07-08,NO1,17 - 18,86.81,116.93,105.0,107.37,5909.0,6385.1,6147.1,2026-07-08T17:00:00
2026-07-08,NO1,18 - 19,62.3,199.9,130.56,133.69,5668.4,4908.2,5288.3,2026-07-08T18:00:00
2026-07-08,NO1,19 - 20,149.3,191.39,180.27,162.67,6302.6,5506.9,5904.8,2026-07-08T19:00:00
2026-07-08,NO1,20 - 21,140.0,230.0,148.5,174.47,6042.7,6494.7,6268.7,2026-07-08T20:00:00
2026-07-08,NO1,21 - 22,153.8,184.88,154.53,169.89,4756.1,4838.9,4797.5,2026-07-08T21:00:00
2026-07-08,NO1,22 - 23,154.6,175.68,155.43,166.54,3506.8,3221.8,3364.3,2026-07-08T22:00:00
2026-07-08,NO1,23 - 24,146.1,162.97,147.32,154.35,2317.4,1830.0,2073.7,2026-07-08T23:00:00
