delivery_date,market_area,hours,Buy Volume (MWh),Sell Volume (MWh),Volume (MWh),Price (£/MWh),period_start
2026-07-12,GB,00:00 - 00:30,790.4,790.4,790.4,110.0,2026-07-12T00:00:00
2026-07-12,GB,00:30 - 01:00,765.1,765.1,765.1,112.2,2026-07-12T00:30:00
2026-07-12,GB,01:00 - 01:30,736.2,736.2,736.2,104.0,2026-07-12T01:00:00
2026-07-12,GB,01:30 - 02:00,609.1,609.1,609.1,110.23,2026-07-12T01:30:00
2026-07-12,GB,02:00 - 02:30,743.4,743.4,743.4,100.0,2026-07-12T02:00:00
2026-07-12,GB,02:30 - 03:00,542.3,542.3,542.3,106.85,2026-07-12T02:30:00
2026-07-12,GB,03:00 - 03:30,468.9,468.9,468.9,107.0,2026-07-12T03:00:00
2026-07-12,GB,03:30 - 04:00,380.6,380.6,380.6,107.0,2026-07-12T03:30:00
2026-07-12,GB,04:00 - 04:30,377.4,377.4,377.4,107.61,2026-07-12T04:00:00
2026-07-12,GB,04:30 - 05:00,333.5,333.5,333.5,106.36,2026-07-12T04:30:00
2026-07-12,GB,05:00 - 05:30,397.2,397.2,397.2,104.0,2026-07-12T05:00:00
2026-07-12,GB,05:30 - 06:00,311.2,311.2,311.2,103.96,2026-07-12T05:30:00
2026-07-12,GB,06:00 - 06:30,359.8,359.8,359.8,108.0,2026-07-12T06:00:00
2026-07-12,GB,06:30 - 07:00,325.5,325.5,325.5,97.8,2026-07-12T06:30:00
2026-07-12,GB,07:00 - 07:30,383.9,383.9,383.9,88.15,2026-07-12T07:00:00
2026-07-12,GB,07:30 - 08:00,531.3,531.3,531.3,92.0,2026-07-12T07:30:00
2026-07-12,GB,08:00 - 08:30,427.6,427.6,427.6,45.83,2026-07-12T08:00:00
2026-07-12,GB,08:30 - 09:00,490.4,490.4,490.4,41.8,2026-07-12T08:30:00
2026-07-12,GB,09:00 - 09:30,461.1,461.1,461.1,30.99,2026-07-12T09:00:00
2026-07-12,GB,09:30 - 10:00,514.1,514.1,514.1,21.0,2026-07-12T09:30:00
2026-07-12,GB,10:00 - 10:30,346.4,346.4,346.4,27.0,2026-07-12T10:00:00
2026-07-12,GB,10:30 - 11:00,416.1,416.1,416.1,20.0,2026-07-12T10:30:00
2026-07-12,GB,11:00 - 11:30,455.1,455.1,455.1,26.0,2026-07-12T11:00:00
2026-07-12,GB,11:30 - 12:00,430.4,430.4,430.4,15.0,2026-07-12T11:30:00
2026-07-12,GB,12:00 - 12:30,463.5,463.5,463.5,10.0,2026-07-12T12:00:00
2026-07-12,GB,12:30 - 13:00,478.8,478.8,478.8,5.06,2026-07-12T12:30:00
2026-07-12,GB,13:00 - 13:30,546.4,546.4,546.4,6.0,2026-07-12T13:00:00
2026-07-12,GB,13:30 - 14:00,539.0,539.0,539.0,6.0,2026-07-12T13:30:00
2026-07-12,GB,14:00 - 14:30,569.9,569.9,569.9,6.8,2026-07-12T14:00:00
2026-07-12,GB,14:30 - 15:00,560.2,560.2,560.2,5.32,2026-07-12T14:30:00
2026-07-12,GB,15:00 - 15:30,583.3,583.3,583.3,6.0,2026-07-12T15:00:00
2026-07-12,GB,15:30 - 16:00,560.7,560.7,560.7,9.6,2026-07-12T15:30:00
2026-07-12,GB,16:00 - 16:30,674.9,674.9,674.9,12.0,2026-07-12T16:00:00
2026-07-12,GB,16:30 - 17:00,695.5,695.5,695.5,13.91,2026-07-12T16:30:00
2026-07-12,GB,17:00 - 17:30,543.7,543.7,543.7,19.91,2026-07-12T17:00:00
2026-07-12,GB,17:30 - 18:00,634.5,634.5,634.5,38.88,2026-07-12T17:30:00
2026-07-12,GB,18:00 - 18:30,645.5,645.5,645.5,72.1,2026-07-12T18:00:00
2026-07-12,GB,18:30 - 19:00,683.5,683.5,683.5,75.0,2026-07-12T18:30:00
2026-07-12,GB,19:00 - 19:30,716.7,716.7,716.7,104.23,2026-07-12T19:00:00
2026-07-12,GB,19:30 - 20:00,925.8,925.8,925.8,108.0,2026-07-12T19:30:00
2026-07-12,GB,20:00 - 20:30,533.6,533.6,533.6,121.72,2026-07-12T20:00:00
2026-07-12,GB,20:30 - 21:00,627.3,627.3,627.3,123.34,2026-07-12T20:30:00
2026-07-12,GB,21:00 - 21:30,554.4,554.4,554.4,122.0,2026-07-12T21:00:00
2026-07-12,GB,21:30 - 22:00,582.0,582.0,582.0,121.6,2026-07-12T21:30:00
2026-07-12,GB,22:00 - 22:30,552.8,552.8,552.8,123.08,2026-07-12T22:00:00
2026-07-12,GB,22:30 - 23:00,451.1,451.1,451.1,123.1,2026-07-12T22:30:00
2026-07-12,GB,23:00 - 23:30,619.0,619.0,619.0,119.0,2026-07-12T23:00:00
2026-07-12,GB,23:30 - 24:00,598.1,598.1,598.1,115.0,2026-07-12T23:30:00
