delivery_date,market_area,hours,Buy Volume (MWh),Sell Volume (MWh),Volume (MWh),Price (£/MWh),period_start
2026-07-08,GB,00 - 01,5097.8,5097.8,5097.8,110.65,2026-07-08T00:00:00
2026-07-08,GB,01 - 02,4814.8,4814.8,4814.8,107.0,2026-07-08T01:00:00
2026-07-08,GB,02 - 03,4921.5,4921.5,4921.5,102.85,2026-07-08T02:00:00
2026-07-08,GB,03 - 04,4861.8,4861.8,4861.8,98.6,2026-07-08T03:00:00
2026-07-08,GB,04 - 05,4795.8,4795.8,4795.8,96.2,2026-07-08T04:00:00
2026-07-08,GB,05 - 06,4553.6,4553.6,4553.6,96.1,2026-07-08T05:00:00
2026-07-08,GB,06 - 07,4539.5,4539.5,4539.5,100.62,2026-07-08T06:00:00
2026-07-08,GB,07 - 08,4577.3,4577.3,4577.3,112.0,2026-07-08T07:00:00
2026-07-08,GB,08 - 09,4967.8,4967.8,4967.8,119.18,2026-07-08T08:00:00
2026-07-08,GB,09 - 10,4832.2,4832.2,4832.2,111.83,2026-07-08T09:00:00
2026-07-08,GB,10 - 11,4963.0,4963.0,4963.0,98.58,2026-07-08T10:00:00
2026-07-08,GB,11 - 12,4730.8,4730.8,4730.8,96.0,2026-07-08T11:00:00
2026-07-08,GB,12 - 13,4933.8,4933.8,4933.8,91.2,2026-07-08T12:00:00
2026-07-08,GB,13 - 14,5115.6,5115.6,5115.6,91.08,2026-07-08T13:00:00
2026-07-08,GB,14 - 15,5137.3,5137.3,5137.3,91.29,2026-07-08T14:00:00
2026-07-08,GB,15 - 16,5056.0,5056.0,5056.0,91.1,2026-07-08T15:00:00
2026-07-08,GB,16 - 17,4339.4,4339.4,4339.4,93.75,2026-07-08T16:00:00
2026-07-08,GB,17 - 18,4545.5,4545.5,4545.5,101.99,2026-07-08T17:00:00
2026-07-08,GB,18 - 19,5643.0,5643.0,5643.0,113.0,2026-07-08T18:00:00
2026-07-08,GB,19 - 20,6121.3,6121.3,6121.3,137.0,2026-07-08T19:00:00
2026-07-08,GB,20 - 21,6404.4,6404.4,6404.4,141.43,2026-07-08T20:00:00
2026-07-08,GB,21 - 22,6488.7,6488.7,6488.7,151.42,2026-07-08T21:00:00
2026-07-08,GB,22 - 23,6172.4,6172.4,6172.4,146.39,2026-07-08T22:00:00
2026-07-08,GB,23 - 24,6011.0,6011.0,6011.0,133.53,2026-07-08T23:00:00
