delivery_date,market_area,hours,Buy Volume (MWh),Sell Volume (MWh),Volume (MWh),Price (€/MWh),period_start
2026-07-08,PL,00:00 - 00:15,18.8,219.2,219.2,107.2,2026-07-08T00:00:00
2026-07-08,PL,00:15 - 00:30,22.9,218.1,218.1,98.04,2026-07-08T00:15:00
2026-07-08,PL,00:30 - 00:45,23.7,215.8,215.8,97.2,2026-07-08T00:30:00
2026-07-08,PL,00:45 - 01:00,23.2,219.6,219.6,94.51,2026-07-08T00:45:00
2026-07-08,PL,01:00 - 01:15,13.1,216.8,216.8,93.59,2026-07-08T01:00:00
2026-07-08,PL,01:15 - 01:30,12.6,222.0,222.0,91.24,2026-07-08T01:15:00
2026-07-08,PL,01:30 - 01:45,12.4,227.2,227.2,91.28,2026-07-08T01:30:00
2026-07-08,PL,01:45 - 02:00,12.6,222.6,222.6,91.33,2026-07-08T01:45:00
2026-07-08,PL,02:00 - 02:15,28.0,210.3,210.3,88.05,2026-07-08T02:00:00
2026-07-08,PL,02:15 - 02:30,29.2,208.5,208.5,87.66,2026-07-08T02:15:00
2026-07-08,PL,02:30 - 02:45,25.2,210.4,210.4,90.02,2026-07-08T02:30:00
2026-07-08,PL,02:45 - 03:00,25.5,213.9,213.9,88.9,2026-07-08T02:45:00
2026-07-08,PL,03:00 - 03:15,29.2,204.2,204.2,85.09,2026-07-08T03:00:00
2026-07-08,PL,03:15 - 03:30,28.9,210.3,210.3,87.69,2026-07-08T03:15:00
2026-07-08,PL,03:30 - 03:45,28.9,215.7,215.7,82.03,2026-07-08T03:30:00
2026-07-08,PL,03:45 - 04:00,28.9,217.4,217.4,83.41,2026-07-08T03:45:00
2026-07-08,PL,04:00 - 04:15,27.2,257.9,257.9,94.0,2026-07-08T04:00:00
2026-07-08,PL,04:15 - 04:30,27.3,258.2,258.2,94.51,2026-07-08T04:15:00
2026-07-08,PL,04:30 - 04:45,27.3,263.2,263.2,92.73,2026-07-08T04:30:00
2026-07-08,PL,04:45 - 05:00,27.3,263.7,263.7,94.51,2026-07-08T04:45:00
2026-07-08,PL,05:00 - 05:15,23.1,280.2,280.2,97.92,2026-07-08T05:00:00
2026-07-08,PL,05:15 - 05:30,20.1,292.5,292.5,103.03,2026-07-08T05:15:00
2026-07-08,PL,05:30 - 05:45,20.1,291.6,291.6,107.0,2026-07-08T05:30:00
2026-07-08,PL,05:45 - 06:00,22.6,287.7,287.7,106.02,2026-07-08T05:45:00
2026-07-08,PL,06:00 - 06:15,25.1,267.2,267.2,110.35,2026-07-08T06:00:00
2026-07-08,PL,06:15 - 06:30,25.1,259.6,259.6,109.41,2026-07-08T06:15:00
2026-07-08,PL,06:30 - 06:45,25.5,259.0,259.0,107.2,2026-07-08T06:30:00
2026-07-08,PL,06:45 - 07:00,26.4,266.7,266.7,108.23,2026-07-08T06:45:00
2026-07-08,PL,07:00 - 07:15,20.0,290.6,290.6,118.16,2026-07-08T07:00:00
2026-07-08,PL,07:15 - 07:30,20.9,293.8,293.8,114.54,2026-07-08T07:15:00
2026-07-08,PL,07:30 - 07:45,18.4,309.7,309.7,114.54,2026-07-08T07:30:00
2026-07-08,PL,07:45 - 08:00,14.9,312.5,312.5,109.41,2026-07-08T07:45:00
2026-07-08,PL,08:00 - 08:15,37.7,313.9,313.9,108.02,2026-07-08T08:00:00
2026-07-08,PL,08:15 - 08:30,37.2,298.6,298.6,93.89,2026-07-08T08:15:00
2026-07-08,PL,08:30 - 08:45,50.5,284.7,284.7,48.84,2026-07-08T08:30:00
2026-07-08,PL,08:45 - 09:00,50.3,294.0,294.0,47.25,2026-07-08T08:45:00
2026-07-08,PL,09:00 - 09:15,55.2,206.8,206.8,43.91,2026-07-08T09:00:00
2026-07-08,PL,09:15 - 09:30,58.0,209.1,209.1,23.32,2026-07-08T09:15:00
2026-07-08,PL,09:30 - 09:45,59.6,164.9,164.9,-1.6,2026-07-08T09:30:00
2026-07-08,PL,09:45 - 10:00,53.3,173.7,173.7,-1.62,2026-07-08T09:45:00
2026-07-08,PL,10:00 - 10:15,79.3,141.9,141.9,-33.62,2026-07-08T10:00:00
2026-07-08,PL,10:15 - 10:30,70.8,168.4,168.4,-2.4,2026-07-08T10:15:00
2026-07-08,PL,10:30 - 10:45,71.5,169.7,169.7,0.0,2026-07-08T10:30:00
2026-07-08,PL,10:45 - 11:00,71.6,188.6,188.6,0.04,2026-07-08T10:45:00
2026-07-08,PL,11:00 - 11:15,72.1,185.2,185.2,0.0,2026-07-08T11:00:00
2026-07-08,PL,11:15 - 11:30,71.9,182.7,182.7,0.0,2026-07-08T11:15:00
2026-07-08,PL,11:30 - 11:45,80.3,170.7,170.7,-7.67,2026-07-08T11:30:00
2026-07-08,PL,11:45 - 12:00,70.2,177.6,177.6,-2.4,2026-07-08T11:45:00
2026-07-08,PL,12:00 - 12:15,84.9,126.4,126.4,-2.14,2026-07-08T12:00:00
2026-07-08,PL,12:15 - 12:30,94.0,114.6,114.6,-5.21,2026-07-08T12:15:00
2026-07-08,PL,12:30 - 12:45,95.4,112.0,112.0,-20.57,2026-07-08T12:30:00
2026-07-08,PL,12:45 - 13:00,86.6,134.9,134.9,0.0,2026-07-08T12:45:00
2026-07-08,PL,13:00 - 13:15,106.5,146.9,146.9,0.0,2026-07-08T13:00:00
2026-07-08,PL,13:15 - 13:30,102.5,154.2,154.2,0.0,2026-07-08T13:15:00
2026-07-08,PL,13:30 - 13:45,95.1,163.0,163.0,0.13,2026-07-08T13:30:00
2026-07-08,PL,13:45 - 14:00,98.5,161.3,161.3,0.03,2026-07-08T13:45:00
2026-07-08,PL,14:00 - 14:15,89.2,148.9,148.9,-9.9,2026-07-08T14:00:00
2026-07-08,PL,14:15 - 14:30,92.5,158.2,158.2,-4.57,2026-07-08T14:15:00
2026-07-08,PL,14:30 - 14:45,93.4,159.7,159.7,-2.4,2026-07-08T14:30:00
2026-07-08,PL,14:45 - 15:00,91.1,176.8,176.8,0.0,2026-07-08T14:45:00
2026-07-08,PL,15:00 - 15:15,58.1,158.2,158.2,0.13,2026-07-08T15:00:00
2026-07-08,PL,15:15 - 15:30,59.7,155.1,155.1,0.14,2026-07-08T15:15:00
2026-07-08,PL,15:30 - 15:45,62.4,172.1,172.1,14.59,2026-07-08T15:30:00
2026-07-08,PL,15:45 - 16:00,62.6,173.8,173.8,25.9,2026-07-08T15:45:00
2026-07-08,PL,16:00 - 16:15,60.6,181.8,181.8,14.47,2026-07-08T16:00:00
2026-07-08,PL,16:15 - 16:30,60.5,184.2,184.2,18.83,2026-07-08T16:15:00
2026-07-08,PL,16:30 - 16:45,59.7,191.5,191.5,30.91,2026-07-08T16:30:00
2026-07-08,PL,16:45 - 17:00,58.2,205.5,205.5,65.64,2026-07-08T16:45:00
2026-07-08,PL,17:00 - 17:15,32.7,178.6,178.6,45.75,2026-07-08T17:00:00
2026-07-08,PL,17:15 - 17:30,33.3,191.5,191.5,68.6,2026-07-08T17:15:00
2026-07-08,PL,17:30 - 17:45,32.2,204.6,204.6,94.05,2026-07-08T17:30:00
2026-07-08,PL,17:45 - 18:00,31.7,194.8,194.8,88.88,2026-07-08T17:45:00
2026-07-08,PL,18:00 - 18:15,23.8,216.7,216.7,106.62,2026-07-08T18:00:00
2026-07-08,PL,18:15 - 18:30,27.5,198.8,198.8,102.01,2026-07-08T18:15:00
2026-07-08,PL,18:30 - 18:45,27.8,180.6,180.6,120.63,2026-07-08T18:30:00
2026-07-08,PL,18:45 - 19:00,28.1,180.4,180.4,136.28,2026-07-08T18:45:00
2026-07-08,PL,19:00 - 19:15,86.8,127.1,127.1,123.23,2026-07-08T19:00:00
2026-07-08,PL,19:15 - 19:30,87.6,134.6,134.6,133.78,2026-07-08T19:15:00
2026-07-08,PL,19:30 - 19:45,86.2,124.0,124.0,137.82,2026-07-08T19:30:00
2026-07-08,PL,19:45 - 20:00,85.9,128.1,128.1,151.16,2026-07-08T19:45:00
2026-07-08,PL,20:00 - 20:15,126.9,62.3,126.9,136.97,2026-07-08T20:00:00
2026-07-08,PL,20:15 - 20:30,119.1,58.1,119.1,149.09,2026-07-08T20:15:00
2026-07-08,PL,20:30 - 20:45,113.2,56.5,113.2,156.16,2026-07-08T20:30:00
2026-07-08,PL,20:45 - 21:00,113.3,88.6,113.3,168.2,2026-07-08T20:45:00
2026-07-08,PL,21:00 - 21:15,77.2,86.2,86.2,160.63,2026-07-08T21:00:00
2026-07-08,PL,21:15 - 21:30,77.3,87.7,87.7,161.06,2026-07-08T21:15:00
2026-07-08,PL,21:30 - 21:45,77.2,101.9,101.9,163.15,2026-07-08T21:30:00
2026-07-08,PL,21:45 - 22:00,77.2,105.9,105.9,156.47,2026-07-08T21:45:00
2026-07-08,PL,22:00 - 22:15,16.0,178.2,178.2,167.11,2026-07-08T22:00:00
2026-07-08,PL,22:15 - 22:30,16.0,181.7,181.7,163.15,2026-07-08T22:15:00
2026-07-08,PL,22:30 - 22:45,15.8,174.9,174.9,159.48,2026-07-08T22:30:00
2026-07-08,PL,22:45 - 23:00,15.8,164.2,164.2,147.1,2026-07-08T22:45:00
2026-07-08,PL,23:00 - 23:15,14.9,198.2,198.2,153.74,2026-07-08T23:00:00
2026-07-08,PL,23:15 - 23:30,14.8,196.7,196.7,145.08,2026-07-08T23:15:00
2026-07-08,PL,23:30 - 23:45,13.5,204.4,204.4,144.1,2026-07-08T23:30:00
2026-07-08,PL,23:45 - 24:00,13.5,217.4,217.4,137.6,2026-07-08T23:45:00
