delivery_date,market_area,hours,Buy Volume (MWh),Sell Volume (MWh),Volume (MWh),Price (€/MWh),period_start
2026-07-10,PL,00 - 01,58.7,763.7,763.7,152.97,2026-07-10T00:00:00
2026-07-10,PL,01 - 02,30.3,767.8,767.8,143.24,2026-07-10T01:00:00
2026-07-10,PL,02 - 03,27.1,647.3,647.3,139.38,2026-07-10T02:00:00
2026-07-10,PL,03 - 04,8.0,768.1,768.1,137.83,2026-07-10T03:00:00
2026-07-10,PL,04 - 05,13.9,733.2,733.2,138.68,2026-07-10T04:00:00
2026-07-10,PL,05 - 06,7.0,827.7,827.7,140.81,2026-07-10T05:00:00
2026-07-10,PL,06 - 07,88.7,638.5,638.5,150.69,2026-07-10T06:00:00
2026-07-10,PL,07 - 08,161.3,534.3,534.3,147.2,2026-07-10T07:00:00
2026-07-10,PL,08 - 09,37.4,609.7,609.7,127.44,2026-07-10T08:00:00
2026-07-10,PL,09 - 10,25.8,1055.9,1055.9,118.66,2026-07-10T09:00:00
2026-07-10,PL,10 - 11,39.2,1269.2,1269.2,99.21,2026-07-10T10:00:00
2026-07-10,PL,11 - 12,83.3,1132.6,1132.6,78.43,2026-07-10T11:00:00
2026-07-10,PL,12 - 13,147.8,870.2,870.2,53.89,2026-07-10T12:00:00
2026-07-10,PL,13 - 14,170.8,737.0,737.0,48.26,2026-07-10T13:00:00
2026-07-10,PL,14 - 15,128.7,798.9,798.9,58.0,2026-07-10T14:00:00
2026-07-10,PL,15 - 16,111.5,809.6,809.6,73.05,2026-07-10T15:00:00
2026-07-10,PL,16 - 17,114.4,721.1,721.1,104.22,2026-07-10T16:00:00
2026-07-10,PL,17 - 18,135.9,675.3,675.3,118.45,2026-07-10T17:00:00
2026-07-10,PL,18 - 19,364.2,361.8,364.2,136.56,2026-07-10T18:00:00
2026-07-10,PL,19 - 20,558.3,324.3,558.3,164.71,2026-07-10T19:00:00
2026-07-10,PL,20 - 21,668.0,306.9,668.0,184.5,2026-07-10T20:00:00
2026-07-10,PL,21 - 22,667.9,328.4,667.9,176.17,2026-07-10T21:00:00
2026-07-10,PL,22 - 23,494.2,464.8,494.2,168.0,2026-07-10T22:00:00
2026-07-10,PL,23 - 24,110.8,704.1,704.1,154.46,2026-07-10T23:00:00
