delivery_date,market_area,hours,Buy Volume (MWh),Sell Volume (MWh),Volume (MWh),Price (€/MWh),period_start
2026-07-09,AT,00 - 01,1532.8,1150.9,1532.8,143.0,2026-07-09T00:00:00
2026-07-09,AT,01 - 02,1467.8,1015.3,1467.8,134.47,2026-07-09T01:00:00
2026-07-09,AT,02 - 03,1570.6,1071.8,1570.6,128.09,2026-07-09T02:00:00
2026-07-09,AT,03 - 04,1625.7,1177.9,1625.7,125.86,2026-07-09T03:00:00
2026-07-09,AT,04 - 05,1721.3,1208.6,1721.3,126.97,2026-07-09T04:00:00
2026-07-09,AT,05 - 06,1809.8,1166.4,1809.8,134.97,2026-07-09T05:00:00
2026-07-09,AT,06 - 07,1840.0,770.8,1840.0,146.38,2026-07-09T06:00:00
2026-07-09,AT,07 - 08,1712.9,847.3,1712.9,146.8,2026-07-09T07:00:00
2026-07-09,AT,08 - 09,2324.9,711.3,2324.9,138.93,2026-07-09T08:00:00
2026-07-09,AT,09 - 10,2472.6,337.3,2472.6,117.14,2026-07-09T09:00:00
2026-07-09,AT,10 - 11,2193.7,299.0,2193.7,97.75,2026-07-09T10:00:00
2026-07-09,AT,11 - 12,2079.9,362.9,2079.9,83.84,2026-07-09T11:00:00
2026-07-09,AT,12 - 13,1523.8,671.9,1523.8,60.44,2026-07-09T12:00:00
2026-07-09,AT,13 - 14,1460.6,867.0,1460.6,39.07,2026-07-09T13:00:00
2026-07-09,AT,14 - 15,1503.5,982.7,1503.5,36.45,2026-07-09T14:00:00
2026-07-09,AT,15 - 16,1408.1,1001.6,1408.1,57.74,2026-07-09T15:00:00
2026-07-09,AT,16 - 17,1362.4,1245.1,1362.4,80.77,2026-07-09T16:00:00
2026-07-09,AT,17 - 18,1427.7,1574.1,1574.1,109.02,2026-07-09T17:00:00
2026-07-09,AT,18 - 19,1732.5,959.3,1732.5,132.46,2026-07-09T18:00:00
2026-07-09,AT,19 - 20,1508.3,1854.6,1854.6,163.52,2026-07-09T19:00:00
2026-07-09,AT,20 - 21,1360.6,1970.9,1970.9,202.24,2026-07-09T20:00:00
2026-07-09,AT,21 - 22,1200.6,2086.5,2086.5,204.13,2026-07-09T21:00:00
2026-07-09,AT,22 - 23,1297.0,2077.4,2077.4,181.58,2026-07-09T22:00:00
2026-07-09,AT,23 - 24,1380.4,1796.1,1796.1,161.38,2026-07-09T23:00:00
