delivery_date,market_area,hours,Buy Volume (MWh),Sell Volume (MWh),Volume (MWh),Price (€/MWh),period_start
2026-07-09,SE2,00:00 - 00:15,15.7,589.9,589.9,2.11,2026-07-09T00:00:00
2026-07-09,SE2,00:15 - 00:30,15.5,591.4,591.4,1.99,2026-07-09T00:15:00
2026-07-09,SE2,00:30 - 00:45,9.5,595.1,595.1,1.96,2026-07-09T00:30:00
2026-07-09,SE2,00:45 - 01:00,9.5,595.3,595.3,1.99,2026-07-09T00:45:00
2026-07-09,SE2,01:00 - 01:15,16.0,594.3,594.3,2.04,2026-07-09T01:00:00
2026-07-09,SE2,01:15 - 01:30,16.0,595.2,595.2,2.11,2026-07-09T01:15:00
2026-07-09,SE2,01:30 - 01:45,12.1,595.3,595.3,2.1,2026-07-09T01:30:00
2026-07-09,SE2,01:45 - 02:00,10.0,595.8,595.8,2.16,2026-07-09T01:45:00
2026-07-09,SE2,02:00 - 02:15,16.0,593.7,593.7,2.29,2026-07-09T02:00:00
2026-07-09,SE2,02:15 - 02:30,16.0,590.0,590.0,2.32,2026-07-09T02:15:00
2026-07-09,SE2,02:30 - 02:45,10.0,595.2,595.2,2.29,2026-07-09T02:30:00
2026-07-09,SE2,02:45 - 03:00,10.0,591.6,591.6,2.31,2026-07-09T02:45:00
2026-07-09,SE2,03:00 - 03:15,14.8,605.3,605.3,2.31,2026-07-09T03:00:00
2026-07-09,SE2,03:15 - 03:30,8.8,602.7,602.7,2.31,2026-07-09T03:15:00
2026-07-09,SE2,03:30 - 03:45,8.8,589.9,589.9,2.59,2026-07-09T03:30:00
2026-07-09,SE2,03:45 - 04:00,8.8,587.2,587.2,2.84,2026-07-09T03:45:00
2026-07-09,SE2,04:00 - 04:15,8.8,582.1,582.1,2.85,2026-07-09T04:00:00
2026-07-09,SE2,04:15 - 04:30,8.8,583.6,583.6,2.92,2026-07-09T04:15:00
2026-07-09,SE2,04:30 - 04:45,8.8,576.1,576.1,3.29,2026-07-09T04:30:00
2026-07-09,SE2,04:45 - 05:00,8.8,571.2,571.2,4.1,2026-07-09T04:45:00
2026-07-09,SE2,05:00 - 05:15,3.8,571.8,571.8,3.65,2026-07-09T05:00:00
2026-07-09,SE2,05:15 - 05:30,3.8,542.8,542.8,4.47,2026-07-09T05:15:00
2026-07-09,SE2,05:30 - 05:45,3.8,539.4,539.4,7.23,2026-07-09T05:30:00
2026-07-09,SE2,05:45 - 06:00,3.8,533.0,533.0,12.3,2026-07-09T05:45:00
2026-07-09,SE2,06:00 - 06:15,12.3,537.5,537.5,4.46,2026-07-09T06:00:00
2026-07-09,SE2,06:15 - 06:30,12.3,516.3,516.3,9.12,2026-07-09T06:15:00
2026-07-09,SE2,06:30 - 06:45,12.3,488.5,488.5,13.11,2026-07-09T06:30:00
2026-07-09,SE2,06:45 - 07:00,12.3,486.9,486.9,22.32,2026-07-09T06:45:00
2026-07-09,SE2,07:00 - 07:15,11.0,486.7,486.7,11.18,2026-07-09T07:00:00
2026-07-09,SE2,07:15 - 07:30,11.0,471.3,471.3,12.2,2026-07-09T07:15:00
2026-07-09,SE2,07:30 - 07:45,11.0,458.3,458.3,17.53,2026-07-09T07:30:00
2026-07-09,SE2,07:45 - 08:00,11.0,458.7,458.7,25.3,2026-07-09T07:45:00
2026-07-09,SE2,08:00 - 08:15,8.8,443.8,443.8,14.44,2026-07-09T08:00:00
2026-07-09,SE2,08:15 - 08:30,8.8,443.4,443.4,17.17,2026-07-09T08:15:00
2026-07-09,SE2,08:30 - 08:45,8.8,450.8,450.8,22.65,2026-07-09T08:30:00
2026-07-09,SE2,08:45 - 09:00,8.8,447.2,447.2,29.64,2026-07-09T08:45:00
2026-07-09,SE2,09:00 - 09:15,0.0,434.2,434.2,19.04,2026-07-09T09:00:00
2026-07-09,SE2,09:15 - 09:30,0.0,432.7,432.7,24.98,2026-07-09T09:15:00
2026-07-09,SE2,09:30 - 09:45,0.0,440.3,440.3,24.9,2026-07-09T09:30:00
2026-07-09,SE2,09:45 - 10:00,0.0,437.8,437.8,27.25,2026-07-09T09:45:00
2026-07-09,SE2,10:00 - 10:15,0.0,451.0,451.0,26.0,2026-07-09T10:00:00
2026-07-09,SE2,10:15 - 10:30,0.0,452.1,452.1,23.85,2026-07-09T10:15:00
2026-07-09,SE2,10:30 - 10:45,0.5,452.4,452.4,22.22,2026-07-09T10:30:00
2026-07-09,SE2,10:45 - 11:00,0.5,474.9,474.9,21.18,2026-07-09T10:45:00
2026-07-09,SE2,11:00 - 11:15,0.5,442.4,442.4,22.18,2026-07-09T11:00:00
2026-07-09,SE2,11:15 - 11:30,0.5,447.5,447.5,23.62,2026-07-09T11:15:00
2026-07-09,SE2,11:30 - 11:45,0.5,458.6,458.6,25.82,2026-07-09T11:30:00
2026-07-09,SE2,11:45 - 12:00,0.5,464.9,464.9,26.13,2026-07-09T11:45:00
2026-07-09,SE2,12:00 - 12:15,0.5,430.0,430.0,24.6,2026-07-09T12:00:00
2026-07-09,SE2,12:15 - 12:30,0.5,428.2,428.2,25.53,2026-07-09T12:15:00
2026-07-09,SE2,12:30 - 12:45,0.5,435.3,435.3,24.1,2026-07-09T12:30:00
2026-07-09,SE2,12:45 - 13:00,0.5,433.4,433.4,24.25,2026-07-09T12:45:00
2026-07-09,SE2,13:00 - 13:15,0.5,433.2,433.2,27.36,2026-07-09T13:00:00
2026-07-09,SE2,13:15 - 13:30,1.0,440.2,440.2,25.31,2026-07-09T13:15:00
2026-07-09,SE2,13:30 - 13:45,2.2,443.5,443.5,24.59,2026-07-09T13:30:00
2026-07-09,SE2,13:45 - 14:00,2.2,440.4,440.4,24.04,2026-07-09T13:45:00
2026-07-09,SE2,14:00 - 14:15,2.2,448.9,448.9,24.82,2026-07-09T14:00:00
2026-07-09,SE2,14:15 - 14:30,2.2,447.1,447.1,24.68,2026-07-09T14:15:00
2026-07-09,SE2,14:30 - 14:45,2.2,444.9,444.9,25.15,2026-07-09T14:30:00
2026-07-09,SE2,14:45 - 15:00,1.7,442.5,442.5,26.88,2026-07-09T14:45:00
2026-07-09,SE2,15:00 - 15:15,2.2,443.1,443.1,20.61,2026-07-09T15:00:00
2026-07-09,SE2,15:15 - 15:30,0.5,434.0,434.0,25.3,2026-07-09T15:15:00
2026-07-09,SE2,15:30 - 15:45,0.5,422.3,422.3,28.25,2026-07-09T15:30:00
2026-07-09,SE2,15:45 - 16:00,0.5,419.9,419.9,28.6,2026-07-09T15:45:00
2026-07-09,SE2,16:00 - 16:15,0.5,431.0,431.0,20.92,2026-07-09T16:00:00
2026-07-09,SE2,16:15 - 16:30,0.5,428.1,428.1,22.36,2026-07-09T16:15:00
2026-07-09,SE2,16:30 - 16:45,0.4,425.0,425.0,25.48,2026-07-09T16:30:00
2026-07-09,SE2,16:45 - 17:00,0.0,423.3,423.3,28.63,2026-07-09T16:45:00
2026-07-09,SE2,17:00 - 17:15,3.4,412.9,412.9,19.82,2026-07-09T17:00:00
2026-07-09,SE2,17:15 - 17:30,3.3,409.5,409.5,26.4,2026-07-09T17:15:00
2026-07-09,SE2,17:30 - 17:45,3.1,406.5,406.5,29.15,2026-07-09T17:30:00
2026-07-09,SE2,17:45 - 18:00,2.4,398.7,398.7,30.31,2026-07-09T17:45:00
2026-07-09,SE2,18:00 - 18:15,10.2,375.3,375.3,29.51,2026-07-09T18:00:00
2026-07-09,SE2,18:15 - 18:30,10.2,366.0,366.0,29.36,2026-07-09T18:15:00
2026-07-09,SE2,18:30 - 18:45,10.9,352.9,352.9,24.98,2026-07-09T18:30:00
2026-07-09,SE2,18:45 - 19:00,10.4,347.9,347.9,20.39,2026-07-09T18:45:00
2026-07-09,SE2,19:00 - 19:15,9.8,346.5,346.5,29.17,2026-07-09T19:00:00
2026-07-09,SE2,19:15 - 19:30,9.8,343.0,343.0,29.31,2026-07-09T19:15:00
2026-07-09,SE2,19:30 - 19:45,9.8,341.2,341.2,25.35,2026-07-09T19:30:00
2026-07-09,SE2,19:45 - 20:00,9.8,346.1,346.1,23.37,2026-07-09T19:45:00
2026-07-09,SE2,20:00 - 20:15,9.3,334.8,334.8,29.66,2026-07-09T20:00:00
2026-07-09,SE2,20:15 - 20:30,9.3,343.6,343.6,27.83,2026-07-09T20:15:00
2026-07-09,SE2,20:30 - 20:45,9.3,348.6,348.6,22.06,2026-07-09T20:30:00
2026-07-09,SE2,20:45 - 21:00,9.3,348.2,348.2,19.48,2026-07-09T20:45:00
2026-07-09,SE2,21:00 - 21:15,3.0,298.5,298.5,28.07,2026-07-09T21:00:00
2026-07-09,SE2,21:15 - 21:30,3.0,302.1,302.1,26.07,2026-07-09T21:15:00
2026-07-09,SE2,21:30 - 21:45,3.0,307.0,307.0,21.37,2026-07-09T21:30:00
2026-07-09,SE2,21:45 - 22:00,3.0,312.3,312.3,15.71,2026-07-09T21:45:00
2026-07-09,SE2,22:00 - 22:15,2.3,309.4,309.4,26.87,2026-07-09T22:00:00
2026-07-09,SE2,22:15 - 22:30,2.3,308.7,308.7,23.45,2026-07-09T22:15:00
2026-07-09,SE2,22:30 - 22:45,2.3,304.3,304.3,15.35,2026-07-09T22:30:00
2026-07-09,SE2,22:45 - 23:00,2.3,306.7,306.7,8.24,2026-07-09T22:45:00
2026-07-09,SE2,23:00 - 23:15,0.9,330.4,330.4,21.68,2026-07-09T23:00:00
2026-07-09,SE2,23:15 - 23:30,0.9,336.7,336.7,15.15,2026-07-09T23:15:00
2026-07-09,SE2,23:30 - 23:45,0.9,331.2,331.2,11.76,2026-07-09T23:30:00
2026-07-09,SE2,23:45 - 24:00,0.9,345.3,345.3,5.76,2026-07-09T23:45:00
