delivery_date,market_area,hours,Buy Volume (MWh),Sell Volume (MWh),Volume (MWh),Price (€/MWh),period_start
2026-07-11,NO3,00:00 - 00:15,273.8,49.2,273.8,67.13,2026-07-11T00:00:00
2026-07-11,NO3,00:15 - 00:30,273.5,49.1,273.5,66.23,2026-07-11T00:15:00
2026-07-11,NO3,00:30 - 00:45,273.7,48.9,273.7,65.53,2026-07-11T00:30:00
2026-07-11,NO3,00:45 - 01:00,273.7,48.0,273.7,67.96,2026-07-11T00:45:00
2026-07-11,NO3,01:00 - 01:15,271.9,37.8,271.9,68.81,2026-07-11T01:00:00
2026-07-11,NO3,01:15 - 01:30,271.9,36.6,271.9,66.68,2026-07-11T01:15:00
2026-07-11,NO3,01:30 - 01:45,271.8,35.9,271.8,65.65,2026-07-11T01:30:00
2026-07-11,NO3,01:45 - 02:00,271.8,34.3,271.8,69.28,2026-07-11T01:45:00
2026-07-11,NO3,02:00 - 02:15,306.6,32.8,306.6,68.92,2026-07-11T02:00:00
2026-07-11,NO3,02:15 - 02:30,306.6,31.5,306.6,68.94,2026-07-11T02:15:00
2026-07-11,NO3,02:30 - 02:45,306.5,30.2,306.5,68.87,2026-07-11T02:30:00
2026-07-11,NO3,02:45 - 03:00,306.4,28.8,306.4,67.41,2026-07-11T02:45:00
2026-07-11,NO3,03:00 - 03:15,303.3,28.7,303.3,67.95,2026-07-11T03:00:00
2026-07-11,NO3,03:15 - 03:30,303.3,28.2,303.3,69.57,2026-07-11T03:15:00
2026-07-11,NO3,03:30 - 03:45,303.2,27.8,303.2,68.87,2026-07-11T03:30:00
2026-07-11,NO3,03:45 - 04:00,303.1,27.3,303.1,66.05,2026-07-11T03:45:00
2026-07-11,NO3,04:00 - 04:15,306.8,23.8,306.8,65.46,2026-07-11T04:00:00
2026-07-11,NO3,04:15 - 04:30,306.7,22.4,306.7,63.34,2026-07-11T04:15:00
2026-07-11,NO3,04:30 - 04:45,306.6,21.6,306.6,71.15,2026-07-11T04:30:00
2026-07-11,NO3,04:45 - 05:00,306.5,21.0,306.5,70.22,2026-07-11T04:45:00
2026-07-11,NO3,05:00 - 05:15,305.2,25.1,305.2,66.8,2026-07-11T05:00:00
2026-07-11,NO3,05:15 - 05:30,305.1,24.4,305.1,69.49,2026-07-11T05:15:00
2026-07-11,NO3,05:30 - 05:45,304.9,23.4,304.9,69.75,2026-07-11T05:30:00
2026-07-11,NO3,05:45 - 06:00,304.8,22.6,304.8,69.8,2026-07-11T05:45:00
2026-07-11,NO3,06:00 - 06:15,308.9,15.1,308.9,60.25,2026-07-11T06:00:00
2026-07-11,NO3,06:15 - 06:30,308.7,14.9,308.7,63.57,2026-07-11T06:15:00
2026-07-11,NO3,06:30 - 06:45,308.6,14.4,308.6,74.82,2026-07-11T06:30:00
2026-07-11,NO3,06:45 - 07:00,308.5,13.1,308.5,76.67,2026-07-11T06:45:00
2026-07-11,NO3,07:00 - 07:15,337.2,13.2,337.2,70.77,2026-07-11T07:00:00
