delivery_date,market_area,hours,Buy Volume (MWh),Sell Volume (MWh),Volume (MWh),Price (£/MWh),period_start
2026-07-11,GB,00:00 - 00:30,187.3,543.5,543.5,129.8,2026-07-11T00:00:00
2026-07-11,GB,00:30 - 01:00,144.9,516.3,516.3,128.98,2026-07-11T00:30:00
2026-07-11,GB,01:00 - 01:30,140.5,522.8,522.8,128.98,2026-07-11T01:00:00
2026-07-11,GB,01:30 - 02:00,115.5,510.8,510.8,127.73,2026-07-11T01:30:00
2026-07-11,GB,02:00 - 02:30,157.9,521.3,521.3,127.18,2026-07-11T02:00:00
2026-07-11,GB,02:30 - 03:00,164.8,500.3,500.3,126.42,2026-07-11T02:30:00
2026-07-11,GB,03:00 - 03:30,158.0,512.3,512.3,126.54,2026-07-11T03:00:00
2026-07-11,GB,03:30 - 04:00,165.5,525.7,525.7,119.5,2026-07-11T03:30:00
2026-07-11,GB,04:00 - 04:30,136.9,475.4,475.4,121.0,2026-07-11T04:00:00
2026-07-11,GB,04:30 - 05:00,113.9,428.8,428.8,119.45,2026-07-11T04:30:00
2026-07-11,GB,05:00 - 05:30,120.2,434.1,434.1,121.09,2026-07-11T05:00:00
2026-07-11,GB,05:30 - 06:00,126.7,418.9,418.9,116.99,2026-07-11T05:30:00
2026-07-11,GB,06:00 - 06:30,114.0,385.3,385.3,112.47,2026-07-11T06:00:00
2026-07-11,GB,06:30 - 07:00,131.1,379.3,379.3,112.09,2026-07-11T06:30:00
2026-07-11,GB,07:00 - 07:30,161.0,325.8,325.8,98.8,2026-07-11T07:00:00
2026-07-11,GB,07:30 - 08:00,137.6,445.5,445.5,108.51,2026-07-11T07:30:00
2026-07-11,GB,08:00 - 08:30,282.7,656.9,656.9,101.5,2026-07-11T08:00:00
2026-07-11,GB,08:30 - 09:00,217.3,598.2,598.2,108.57,2026-07-11T08:30:00
2026-07-11,GB,09:00 - 09:30,176.6,448.0,448.0,115.02,2026-07-11T09:00:00
2026-07-11,GB,09:30 - 10:00,190.2,498.5,498.5,118.91,2026-07-11T09:30:00
2026-07-11,GB,10:00 - 10:30,206.1,458.3,458.3,121.19,2026-07-11T10:00:00
2026-07-11,GB,10:30 - 11:00,258.5,470.3,470.3,117.8,2026-07-11T10:30:00
2026-07-11,GB,11:00 - 11:30,253.3,429.7,429.7,112.0,2026-07-11T11:00:00
2026-07-11,GB,11:30 - 12:00,252.0,452.8,452.8,102.2,2026-07-11T11:30:00
2026-07-11,GB,12:00 - 12:30,205.6,431.7,431.7,101.01,2026-07-11T12:00:00
2026-07-11,GB,12:30 - 13:00,207.0,401.5,401.5,89.75,2026-07-11T12:30:00
2026-07-11,GB,13:00 - 13:30,231.7,402.4,402.4,86.0,2026-07-11T13:00:00
2026-07-11,GB,13:30 - 14:00,206.5,453.8,453.8,83.05,2026-07-11T13:30:00
2026-07-11,GB,14:00 - 14:30,172.1,428.7,428.7,83.09,2026-07-11T14:00:00
2026-07-11,GB,14:30 - 15:00,190.8,492.7,492.7,83.01,2026-07-11T14:30:00
2026-07-11,GB,15:00 - 15:30,196.8,507.6,507.6,82.87,2026-07-11T15:00:00
2026-07-11,GB,15:30 - 16:00,198.9,497.8,497.8,82.87,2026-07-11T15:30:00
2026-07-11,GB,16:00 - 16:30,244.4,548.7,548.7,83.0,2026-07-11T16:00:00
2026-07-11,GB,16:30 - 17:00,219.8,541.2,541.2,83.02,2026-07-11T16:30:00
2026-07-11,GB,17:00 - 17:30,243.8,443.6,443.6,86.87,2026-07-11T17:00:00
2026-07-11,GB,17:30 - 18:00,190.6,497.5,497.5,95.29,2026-07-11T17:30:00
2026-07-11,GB,18:00 - 18:30,177.9,440.6,440.6,106.22,2026-07-11T18:00:00
2026-07-11,GB,18:30 - 19:00,172.5,592.0,592.0,105.0,2026-07-11T18:30:00
2026-07-11,GB,19:00 - 19:30,208.7,621.4,621.4,124.0,2026-07-11T19:00:00
2026-07-11,GB,19:30 - 20:00,211.9,661.8,661.8,125.5,2026-07-11T19:30:00
2026-07-11,GB,20:00 - 20:30,122.0,745.0,745.0,130.0,2026-07-11T20:00:00
2026-07-11,GB,20:30 - 21:00,181.1,777.5,777.5,130.0,2026-07-11T20:30:00
2026-07-11,GB,21:00 - 21:30,211.9,793.7,793.7,129.35,2026-07-11T21:00:00
2026-07-11,GB,21:30 - 22:00,207.4,805.4,805.4,129.99,2026-07-11T21:30:00
2026-07-11,GB,22:00 - 22:30,119.8,671.9,671.9,125.27,2026-07-11T22:00:00
2026-07-11,GB,22:30 - 23:00,137.0,672.6,672.6,125.03,2026-07-11T22:30:00
2026-07-11,GB,23:00 - 23:30,143.7,725.5,725.5,122.54,2026-07-11T23:00:00
2026-07-11,GB,23:30 - 24:00,129.5,677.2,677.2,119.76,2026-07-11T23:30:00
