delivery_date,market_area,hours,Buy Volume (MWh),Sell Volume (MWh),Volume (MWh),Price (€/MWh),period_start
2026-07-13,CH,00 - 01,3017.2,3017.2,3017.2,131.0,2026-07-13T00:00:00
2026-07-13,CH,01 - 02,2879.1,2879.1,2879.1,127.26,2026-07-13T01:00:00
2026-07-13,CH,02 - 03,2925.4,2925.4,2925.4,124.41,2026-07-13T02:00:00
2026-07-13,CH,03 - 04,2826.4,2826.4,2826.4,123.88,2026-07-13T03:00:00
2026-07-13,CH,04 - 05,3033.9,3033.9,3033.9,124.56,2026-07-13T04:00:00
2026-07-13,CH,05 - 06,2862.3,2862.3,2862.3,135.2,2026-07-13T05:00:00
2026-07-13,CH,06 - 07,3796.3,3796.3,3796.3,145.0,2026-07-13T06:00:00
2026-07-13,CH,07 - 08,3829.5,3829.5,3829.5,147.61,2026-07-13T07:00:00
2026-07-13,CH,08 - 09,2970.0,2970.0,2970.0,136.73,2026-07-13T08:00:00
2026-07-13,CH,09 - 10,2675.3,2675.3,2675.3,120.02,2026-07-13T09:00:00
2026-07-13,CH,10 - 11,2728.6,2728.6,2728.6,116.75,2026-07-13T10:00:00
2026-07-13,CH,11 - 12,3417.9,3417.9,3417.9,110.61,2026-07-13T11:00:00
2026-07-13,CH,12 - 13,3719.6,3719.6,3719.6,89.61,2026-07-13T12:00:00
2026-07-13,CH,13 - 14,3742.9,3742.9,3742.9,89.01,2026-07-13T13:00:00
2026-07-13,CH,14 - 15,3540.8,3540.8,3540.8,87.0,2026-07-13T14:00:00
2026-07-13,CH,15 - 16,3348.0,3348.0,3348.0,111.31,2026-07-13T15:00:00
2026-07-13,CH,16 - 17,2958.3,2958.3,2958.3,117.0,2026-07-13T16:00:00
2026-07-13,CH,17 - 18,3232.8,3232.8,3232.8,125.46,2026-07-13T17:00:00
2026-07-13,CH,18 - 19,3945.8,3945.8,3945.8,142.3,2026-07-13T18:00:00
2026-07-13,CH,19 - 20,5062.0,5062.0,5062.0,177.4,2026-07-13T19:00:00
2026-07-13,CH,20 - 21,5210.9,5210.9,5210.9,190.0,2026-07-13T20:00:00
2026-07-13,CH,21 - 22,4866.4,4866.4,4866.4,176.4,2026-07-13T21:00:00
2026-07-13,CH,22 - 23,4468.4,4468.4,4468.4,162.87,2026-07-13T22:00:00
2026-07-13,CH,23 - 24,3889.4,3889.4,3889.4,146.87,2026-07-13T23:00:00
